"","errors","Facebook","legis.names","Party","Business","Notes"
"93","try-error","","Jamila Jouini","Mouvement Ennahdha",0,"Possible account, can't confirm"
"94","try-error","","Bechir Khelifi","Mouvement Ennahdha",0,""
"95","data.frame","Mr.Ajmi.Lourimi","Lajmi Lourimi","Mouvement Ennahdha",0,""
"96","try-error","","Monia Brahim","Mouvement Ennahdha",0,""
"97","try-error","485403878179758","Naoufel Jammali","Mouvement Ennahdha",0,""
"98","data.frame","hayet.omri.1","Hayet Omri","Mouvement Ennahdha",0,""
"99","try-error","","Zouheir Rajbi","Mouvement Ennahdha",0,""
"100","data.frame","","Ahmed Mechergui","Mouvement Ennahdha",0,""
"101","data.frame","Aroua.B.Abbes","Aroua Ben Abbas","Mouvement Ennahdha",0,""
"102","data.frame","Kalthoum.Badreddine","Kalthoum Badreddine","Mouvement Ennahdha",0,""
"103","data.frame","badreddine.abdelkafi","Badreddine Abdelkefi","Mouvement Ennahdha",0,""
"104","try-error","","Nadhir Ben Ammou","Mouvement Ennahdha",0,"Had a heart attack last year, may be dead? https://www.facebook.com/mosaiquefm/posts/10153644534973646"
"105","data.frame","yamina.zoghlami","Yamina Zoghlami","Mouvement Ennahdha",0,""
"106","try-error","Mr.Ali.Laaridh","Ali Laraiedh","Mouvement Ennahdha",0,""
"107","try-error","","Mohamed Lakhdhar Lajili","Mouvement Ennahdha",0,""
"108","try-error","FathiAyadi01","Fathi Ayadi","Mouvement Ennahdha",0,""
"109","data.frame","official.page.charfi.net1","Maher Madhioub","Mouvement Ennahdha",0,""
"110","data.frame","frikha.pr","Mohamed Frikha","Mouvement Ennahdha",0,""
"111","try-error","","Soulef Ksantini","Mouvement Ennahdha",0,""
"112","try-error","","Slim Besbes","Mouvement Ennahdha",0,""
"113","data.frame","zeineb.brahmi.1","Zeineb Brahmi","Mouvement Ennahdha",0,"Possible account, can't confirm"
"114","data.frame","mohamedkamel.besbes","Mohamed Kamel Besbes","Mouvement Ennahdha",0,""
"115","try-error","","Ahmed Ameri","Mouvement Ennahdha",0,""
"116","data.frame","besma.jebali","Basma Jebali","Mouvement Ennahdha",0,""
"117","try-error","","Lakhdhar Belhouchat","Mouvement Ennahdha",0,""
"118","data.frame","Bouzemmi","Heger Bouzemmi","Mouvement Ennahdha",0,""
"119","data.frame","","Leila Oueslati","Mouvement Ennahdha",0,""
"120","data.frame","hedi.benbraham","Hedi Ben Braham","Mouvement Ennahdha",0,""
"121","data.frame","Ameur.Larayedh1","Ameur Laraiedh","Mouvement Ennahdha",0,""
"122","try-error","moez.bhrhouma","Moez Belhaj Rhouma","Mouvement Ennahdha",1,"Is a businessman according to his facebook"
"123","try-error","","Mohamed Ali Bedoui","Mouvement Ennahdha",0,""
"124","try-error","","Mahbouba Ben Dhifallah","Mouvement Ennahdha",0,""
"125","try-error","Mehrzia.Labidi","Meherzia Laabidi","Mouvement Ennahdha",0,""
"126","try-error","","Mahmoud Gouiaa","Mouvement Ennahdha",0,""
"127","data.frame","184686228274946","Ferida Laabidi","Mouvement Ennahdha",0,""
"128","data.frame","hedi.soula.9","Hedi Soula","Mouvement Ennahdha",0,""
"129","try-error","","Chahida Fraj","Mouvement Ennahdha",0,""
"130","data.frame","walid.bennani","Walid Banneni","Mouvement Ennahdha",0,""
"131","try-error","100006315138257","Mohamed Sidhom","Mouvement Ennahdha",0,""
"132","try-error","safia.khalfi.3","Safia Khalfi","Mouvement Ennahdha",0,""
"133","data.frame","863423490384792","Wafa Attia","Mouvement Ennahdha",0,""
"134","data.frame","Dr.Soudani.Mohsen","Mohamed Mohsen Soudani","Mouvement Ennahdha",0,""
"135","data.frame","mohamed.zrig.73","Mohamed Zrig","Mouvement Ennahdha",0,""
"136","data.frame","dalila.makhlouf","Dalila Babba","Mouvement Ennahdha",0,""
"137","data.frame","neji.jmal.5","Neji Jmal","Mouvement Ennahdha",0,""
"138","data.frame","toumi.radhia","Radhia Toumi","Mouvement Ennahdha",0,""
"139","data.frame","Maitre.Habib.khedher","Habib Khedher","Mouvement Ennahdha",0,""
"140","data.frame","souid.amal.9","Amal Souid","Mouvement Ennahdha",0,""
"141","try-error","saida.ounissi.org","Sayida Ounissi","Mouvement Ennahdha",0,""
"142","data.frame","Houcine.Jaziri","Houcine Jaziri","Mouvement Ennahdha",1,""
"143","data.frame","semir.dilou","Samir Dilou","Mouvement Ennahdha",0,""
"144","data.frame","EmnaBenHmayed","Emna Ben Hmayed","Mouvement Ennahdha",0,""
"145","data.frame","1205232182825550","Hela Hammi","Mouvement Ennahdha",0,""
"146","data.frame","mohamed.mahjoub.37","Mohamed Mahjoub","Mouvement Ennahdha",0,""
"147","try-error","Mr.Noureddine.Bhiri","Noureddine Bhiri","Mouvement Ennahdha",0,""
"148","try-error","bebedjosam","Sami Fetnassi","Mouvement Ennahdha",0,""
"149","data.frame","165886853590828","Sahbi Atig","Mouvement Ennahdha",0,""
"150","data.frame","jamila.debbechksiksi","Jamila Debbech","Mouvement Ennahdha",0,""
"151","data.frame","277601058975737","Oussama Al Saghir","Mouvement Ennahdha",0,""
"152","data.frame","ben.imen","Imen Ben Mhamed","Mouvement Ennahdha",0,""
"153","data.frame","sana.mersni","Sana Mersni","Mouvement Ennahdha",0,""
"154","try-error","","Imed Khemiri","Mouvement Ennahdha",0,""
"155","try-error","","Latifa Habachi","Mouvement Ennahdha",0,""
"156","try-error","","Bechir Ellazzem","Mouvement Ennahdha",0,""
"157","data.frame","abdmeki","Abdellatif Mekki","Mouvement Ennahdha",0,""
"158","data.frame","Mohamed.ben.salem.officiel","Mohamed Ben Salem","Mouvement Ennahdha",1,"He was very successful in real estate in France https://fr.wikipedia.org/wiki/Mohamed_Ben_Salem_(1953)"
"159","data.frame","ramzi.benfraj1","Ramzi Ben Fraj","Mouvement Ennahdha",0,""
"160","try-error","Abdelfattah.Mourou","Abdelfattah Mourou","Mouvement Ennahdha",0,""
"161","try-error","","Bechir Ben Amor","Mouvement Nidaa Tounes",1,""
"162","data.frame","mr.mohamed.saidane","Mohamed Saidane","Mouvement Nidaa Tounes",1,""
"163","data.frame","hela.omrane.5","Hela Omrane","Mouvement Nidaa Tounes",0,""
"164","data.frame","560181960774514","Mohamed Jalel Ghedira","Mouvement Nidaa Tounes",-1,""
"165","data.frame","lnabli","Lotfi Nabli","Mouvement Nidaa Tounes",0,""
"166","try-error","","Faycel Khelifa","Mouvement Nidaa Tounes",0,""
"167","data.frame","ismail.benmahmoud","Ismail Ben Mahmoud","Mouvement Nidaa Tounes",0,""
"168","try-error","","Imed Ouled Jebril","Mouvement Nidaa Tounes",0,""
"169","data.frame","","Mohamed Ennaceur","Mouvement Nidaa Tounes",0,""
"170","try-error","zaouali.souad","Souad Zaouali","Mouvement Nidaa Tounes",0,""
"171","try-error","SERS2013","Mongi Harbaoui","Mouvement Nidaa Tounes",0,""
"172","data.frame","1564490777209930","El Khansa Ben Harrath","Mouvement Nidaa Tounes",0,""
"173","try-error","mhidli.sana","Sana Salhi","Mouvement Nidaa Tounes",0,""
"174","try-error","","Najia Ben Abdelhafidh","Mouvement Nidaa Tounes",0,""
"175","data.frame","houssem.bounenni.5","Houssem Bounenni","Mouvement Nidaa Tounes",0,""
"176","try-error","chekib.bani.7","Chakib Bani","Mouvement Nidaa Tounes",0,""
"177","data.frame","208723049516347","Houda Tekaya","Mouvement Nidaa Tounes",0,""
"178","data.frame","fadhel.nidaa.tounes","Mohamed Fadhel Ben Omrane","Mouvement Nidaa Tounes",0,"This guy quit being the head of Nidaa Tounes, ostensibly because he hated the amount of absenteeism https://www.facebook.com/mosaiquefm/posts/10154377851468646"
"179","try-error","ikram.moulahi","Ikram Moulahi","Mouvement Nidaa Tounes",0,""
"180","data.frame","moncef.sellami.officiel","Moncef Sellami","Mouvement Nidaa Tounes",1,""
"181","try-error","","Noura Amri","Mouvement Nidaa Tounes",0,""
"182","data.frame","217037171711305","Khemais Ksila","Mouvement Nidaa Tounes",0,""
"183","try-error","","Mohamed Kamel Hamzaoui","Mouvement Nidaa Tounes",1,""
"184","data.frame","ons.hattab","Ons Hattab","Mouvement Nidaa Tounes",0,""
"185","try-error","","Lamia Gharbi","Mouvement Nidaa Tounes",0,""
"186","try-error","belgacem.dkhili.3","Belgacem Dkhili","Mouvement Nidaa Tounes",0,""
"187","data.frame","590395617748867","Mohamed Ben Souf","Mouvement Nidaa Tounes",0,""
"188","try-error","","Sofien Toubel","Mouvement Nidaa Tounes",0,"Nidaa new leader, should have a fb page??"
"189","data.frame","Asma.abou.elhana","Asma Abou Hana","Mouvement Nidaa Tounes",0,""
"190","try-error","","Jihen Aouichi","Mouvement Nidaa Tounes",0,""
"191","data.frame","1562546410646520","Chaker Ayadi","Mouvement Nidaa Tounes",0,""
"192","try-error","","Ibtihej Ben Helal","Mouvement Nidaa Tounes",0,""
"193","try-error","","Taher Battikh","Mouvement Nidaa Tounes",0,""
"194","data.frame","MedRamziKhemis","Mohamed Ramzi Khmiss","Mouvement Nidaa Tounes",0,""
"195","data.frame","leilabougatefchettaoui","Leila Bougatef","Mouvement Nidaa Tounes",0,""
"196","try-error","najla.saadaoui","Najla Saadaoui","Mouvement Nidaa Tounes",0,""
"197","try-error","issam.matoussi","Issam Matoussi","Mouvement Nidaa Tounes",0,""
"198","data.frame","482470265226144","Mounir Hamdi","Mouvement Nidaa Tounes",0,""
"199","data.frame","zohradrisspageofficielle","Zohra Idriss","Mouvement Nidaa Tounes",1,""
"200","data.frame","469968096520466","Nawel Tayech","Mouvement Nidaa Tounes",0,""
"201","data.frame","311908112193203","Salem Hamdi","Mouvement Nidaa Tounes",0,""
"202","data.frame","","Abir Abdelli","Mouvement Nidaa Tounes",0,""
"203","data.frame","ridhacharfeddinepageofficielle","Ridha Charfeddine","Mouvement Nidaa Tounes",1,""
"204","try-error","","Taieb Medni","Mouvement Nidaa Tounes",0,""
"205","try-error","","Kamel Dhaouadi","Mouvement Nidaa Tounes",0,""
"206","data.frame","Hatem.Ferjani.Officiel","Hatem Ferjani","Mouvement Nidaa Tounes",0,""
"207","data.frame","KottiAbdelaziz.officiel","Abdelaziz Kotti","Mouvement Nidaa Tounes",0,""
"208","data.frame","MlayehLamia","Lamia Mlayah","Mouvement Nidaa Tounes",0,""
"209","try-error","","Hssan Amri","Mouvement Nidaa Tounes",0,""
"210","try-error","","Abdennaceur Chouikh","Mouvement Nidaa Tounes",0,""
"211","data.frame","1506986986257160","Leila Ouled Ali","Mouvement Nidaa Tounes",0,""
"212","try-error","","Ibtissem Jebabli","Mouvement Nidaa Tounes",0,""
"213","try-error","677529552330886","Mohamed Hedi Gueddich","Mouvement Nidaa Tounes",0,""
"214","try-error","","Sameh Dammak","Mouvement Nidaa Tounes",0,""
"215","data.frame","150366748467950","Wafa Makhlouf","Mouvement Nidaa Tounes",1,""
"216","try-error","","Ali Ben Salem","Mouvement Nidaa Tounes",0,""
"217","try-error","100004940627733","Olfa Jouini","Union Patriotique Libre",0,""
"218","data.frame","533822206719594","Mohamed Amine Kahloul","Union Patriotique Libre",0,""
"219","data.frame","632072826891372","Taoufik Jemli","Union Patriotique Libre",0,""
"220","data.frame","307511519436582","Mahmoud Kahri","Union Patriotique Libre",0,""
"221","try-error","","Tarek Fetiti","Union Patriotique Libre",0,""
"222","try-error","","Dorra Yaacoubi","Union Patriotique Libre",0,""
"223","try-error","","Abderraouf Chebbi","Union Patriotique Libre",0,""
"224","data.frame","821162894607535","Abdelkader Ben Dhifallah","Union Patriotique Libre",0,""
"225","try-error","","Tahar Fdhil","Union Patriotique Libre",0,""
"226","try-error","","Kamel Harraghi","Union Patriotique Libre",0,""
"227","try-error","faouzia.bf","Faouzia Ben Fodha","Union Patriotique Libre",0,""
"228","try-error","noureddine.mrabti.3","Noureddine Mrabti","Union Patriotique Libre",0,""
