item_id,legislature,law_date,n_dates_resolved,discrimination,abs_discrimination,discrimination_median,ci_width,rhat,is_anchor,bill_title
Vote sur un amendement n°80 de l'article 31,ANC,2014-01-10,1,0.078019955422321,0.078019955422321,0.07540999500000001,0.35340795505,1.002286993175472,FALSE,Vote sur un amendement n°80 de l'article 31
Vote sur un amendement n°81 de l'article 35,ANC,2014-01-10,1,-0.568085945745,0.568085945745,-0.570499265,0.4022594654999999,0.9990305065575665,FALSE,Vote sur un amendement n°81 de l'article 35
Vote sur un amendement n°83 de l'article 107,ANC,2014-01-10,1,-0.60663006745,0.60663006745,-0.604980585,0.33844064649999994,1.0040194927821267,FALSE,Vote sur un amendement n°83 de l'article 107
Vote sur un amendement n°87 de l'article 38,ANC,2014-01-10,1,-0.5440533071465,0.5440533071465,-0.54186179,0.5193487564999999,1.0012950457623035,FALSE,Vote sur un amendement n°87 de l'article 38
Vote sur un amendement n°89 de l'article 37,ANC,2014-01-10,1,0.30593175241765,0.30593175241765,0.304720975,0.38272877599999994,1.0046493951824234,FALSE,Vote sur un amendement n°89 de l'article 37
Vote sur un amendement n°93 de l'article 138,ANC,2014-01-10,1,0.51055716414,0.51055716414,0.50960584,0.34855590999999997,1.005612464729633,FALSE,Vote sur un amendement n°93 de l'article 138
Vote sur un amendement n°94 de l'article 2,ANC,2014-01-10,1,0.83114147145,0.83114147145,0.840873435,0.2737378775,0.9994990791109043,FALSE,Vote sur un amendement n°94 de l'article 2
Vote sur un amendement n°97 de l'article 43,ANC,2014-01-10,1,0.593833878775,0.593833878775,0.591869145,0.3969178385,1.001678062502242,FALSE,Vote sur un amendement n°97 de l'article 43
Vote sur un amendement nouveau 1 de l'article 64,ANC,2014-01-10,1,-0.5283986496516,0.5283986496516,-0.530539345,0.5612859644999999,1.001377232655192,FALSE,Vote sur un amendement nouveau 1 de l'article 64
Vote sur un amendement nouveau 2 de l'article 64,ANC,2014-01-10,1,-0.5264149647306,0.5264149647306,-0.54405825,0.700826308,1.0023014834710195,FALSE,Vote sur un amendement nouveau 2 de l'article 64
